split,ghost_timestamp,source_file,target_trace_15,tsne_x,tsne_y,hmm_state,gmm_cluster
TRAIN,2026-04-17T12:24:00-05:00,2026_04.csv,0,3.55346350854542,2.02394010765895,QUIET,4
TRAIN,2026-04-17T15:16:00-05:00,2026_04.csv,5,-0.621338250558665,-2.43507172166805,QUIET,3
TRAIN,2026-04-19T17:00:00-05:00,2026_04.csv,2,1.53397584194829,3.24023082481897,QUIET,6
TRAIN,2026-04-19T20:56:00-05:00,2026_04.csv,11,-0.227124208822111,-2.9462174944509,ACTIVE,3
TRAIN,2026-04-20T00:44:00-05:00,2026_04.csv,5,-0.171193383940577,1.62714004789166,ACTIVE,0
TRAIN,2026-04-20T08:30:00-05:00,2026_04.csv,4,2.58621051902959,-0.466414715025529,QUIET,6
TRAIN,2026-04-20T10:07:00-05:00,2026_04.csv,8,0.0303060824778857,4.08511565379641,ACTIVE,1
TRAIN,2026-04-20T19:10:00-05:00,2026_04.csv,3,-0.138971542031791,-2.60742704011668,ACTIVE,3
TRAIN,2026-04-20T19:38:00-05:00,2026_04.csv,5,-0.10365189501114,0.535731435086958,ACTIVE,0
TRAIN,2026-04-20T19:47:00-05:00,2026_04.csv,0,0.272616245227132,-1.70896645114092,ACTIVE,3
TRAIN,2026-04-20T22:22:00-05:00,2026_04.csv,7,-0.173073772367353,0.730399632247945,ACTIVE,0
TRAIN,2026-04-21T01:10:00-05:00,2026_04.csv,2,-0.285948194144291,-1.69435163139446,ACTIVE,3
TRAIN,2026-04-21T03:06:00-05:00,2026_04.csv,0,0.0759204973450093,1.47874453656647,ACTIVE,0
TRAIN,2026-04-21T06:40:00-05:00,2026_04.csv,6,-0.95449915950047,-1.98340984124329,QUIET,5
TRAIN,2026-04-21T12:20:00-05:00,2026_04.csv,9,-0.529914187992895,3.48072058306644,ACTIVE,1
TRAIN,2026-04-21T14:32:00-05:00,2026_04.csv,10,0.0384505126297503,-3.93184307271526,ACTIVE,3
TRAIN,2026-04-21T14:44:00-05:00,2026_04.csv,3,0.354720974533231,4.59421665517011,ACTIVE,1
